Datetime,Lt,T1,Lt1MLR,Lt1ANN,Lt1LSTM
2020-03-28 15:00,29.34,35,52.19,20.56,25.51
2020-03-28 19:00,24.665063344300002,30.0,47.5254682158819,14.13699853159941,20.1118051574622
2020-03-28 20:00,24.5659802916,30.0,47.4437131504392,13.67302758411496,18.177262552077977
2020-03-28 21:00,24.30509126991,29.444444444444446,47.1383696422305,13.395546564343913,16.39202411569905
2020-03-28 22:00,23.9714225421,29.444444444444446,46.86305405661888,13.161135332922752,14.785332543847161
2020-03-29 10:00,42.838304956,32.77777777777778,62.970908732067905,48.046146127737096,52.32709971051973
2020-03-29 11:00,42.8949771108,33.888888888888886,63.197829187782204,43.31760068603735,48.3735196148488
2020-03-29 12:00,42.6789458124,35.0,63.19973751422432,39.007742184469514,43.68715721192234
2020-03-29 15:00,32.60213571266,34.44444444444444,54.79511518639636,20.289392133129414,30.493496481177246
2020-03-29 16:00,28.96726592818,33.888888888888886,51.70584435108485,16.337549566472408,26.94138835954842
2020-03-29 19:00,24.78646238828,30.555555555555554,47.71571623656247,12.79326460756566,20.921001058327164
2020-03-29 20:00,24.91762583956,30.0,47.733861707661674,12.474667663153502,19.087595522288687
2020-03-29 21:00,24.59334989789,29.444444444444446,47.37621660346898,12.23879433121353,17.17936798566103
2020-03-30 10:00,507.257781259,33.333333333333336,446.261178975113,409.1296501444938,387.21008033769283
2020-03-30 11:00,490.76661640400005,35.0,432.9242851036029,346.8710147848006,320.0983346013777
2020-03-30 13:00,150.5205891331,34.44444444444444,152.09158126802453,285.9496299884643,312.13898276564925
2020-03-30 14:00,497.81431270070004,34.44444444444444,438.64937621278176,356.7679142741211,335.4681764263427
2020-03-30 15:00,486.179710196,34.44444444444444,429.04947327023217,324.0167091801514,297.9124240695155
2020-03-30 20:00,41.317827044299996,30.0,61.26593895225914,26.196781811077486,24.303927569408167
2020-03-31 06:00,29.77936499559,28.88888888888889,51.56520376641075,70.97831988991389,80.27407818973064
2020-03-31 09:00,342.8947056148,32.22222222222222,310.4623276605291,190.39143195540515,133.72821006159953
2020-03-31 10:00,378.6607334173,33.333333333333336,340.15362803127874,168.41323561758566,127.6563957383811
2020-03-31 11:00,371.24669459829994,35.0,334.3064209718181,139.61072690209005,115.35526036089057
2020-03-31 12:00,325.9278389291,35.0,296.9130836647652,134.85475371532516,138.6477631092207
2020-03-31 13:00,73.4325458335,35.0,88.57504150224494,69.14400448063785,67.75946243358345
